NM_CANDIDATO,Partido,NM_UE,Estado,total
KAYO FELYPE NACHTAJLER AMADO,PODE,SÃO VICENTE,SP,840121.99
PAULO JOSÉ CORREIA,PSB,RONDONÓPOLIS,MT,821642.98
MARCELO RAMOS RODRIGUES,PT,MANAUS,AM,819192.5
MARCO ANTONIO MARCONDES SILVA,PSD,FAZENDA RIO GRANDE,PR,803912.8
SANDRO LUCIO FONSECA,PL,GOVERNADOR VALADARES,MG,800528.41
DINAIR SEBASTIANA VELOSO DA SILVA,PDT,TIMON,MA,789799.0
RENATO DE ARAÚJO CORRÊA,PL,ANGRA DOS REIS,RJ,788289.92
NABOR WANDERLEY DA NOBREGA FILHO,REPUBLICANOS,PATOS,PB,783524.05
ULDURICO ALENCAR PINTO,MDB,TEIXEIRA DE FREITAS,BA,779359.9
FRANCISCO ANTONIO SARDELLI,PL,AMERICANA,SP,778767.36
RAIMUNDA NILDA DA SILVA CRUZ,SOLIDARIEDADE,PARNAMIRIM,RN,772801.11
FABIANA CAVALCANTE PESSOA,PL,ARAPIRACA,AL,769541.35
EDER MAURO CARDOSO BARRA,PL,BELÉM,PA,766640.0
MARIA IZOLDA CELA DE ARRUDA COELHO,PSB,SOBRAL,CE,761950.78
ALEX SPINELLI MANENTE,CIDADANIA,SÃO BERNARDO DO CAMPO,SP,755933.39
LEANDRO VILELA VELLOSO,MDB,APARECIDA DE GOIÂNIA,GO,755912.32
VINICIUS NASCIMENTO DOS SANTOS,PT,OLINDA,PE,755911.5
GLÊDSON LIMA BEZERRA,PODE,JUAZEIRO DO NORTE,CE,755615.0
CELSO FERNANDO GÓES,CIDADANIA,GUARAPUAVA,PR,742198.71
JOÃO DOUGLAS FABRÍCIO,CIDADANIA,CAMPO MOURÃO,PR,717574.88
MÁRCIO MASSAMI NAKASHIMA,PDT,GUARULHOS,SP,701720.8
MARCUS AZEVEDO BATISTA,PODE,SÃO MATEUS,ES,692945.0
AURÉLIO RAMOS DE OLIVEIRA NETO,AVANTE,PARAUAPEBAS,PA,681216.93
ROGERIO CORREIA DE MOURA BAPTISTA,PT,BELO HORIZONTE,MG,671489.0
DENISE DA SILVA PESSÔA,PT,CAXIAS DO SUL,RS,659193.5
JUSCELINO KUBITSCHEK CAMPOS DE SOUZA,PL,SANTARÉM,PA,650943.1
PAULO CESAR LEMOS DE OLIVEIRA,PSOL,MACAPÁ,AP,649724.6
MARGARIDA MARIA SINGER,PSD,SÃO JOSÉ DOS PINHAIS,PR,648319.7
JOÃO RODRIGUES,PSD,CHAPECÓ,SC,647094.38
CARLOS ROBERTO COELHO DE MATTOS JUNIOR,PL,NITERÓI,RJ,645665.0
JOÃO HENRIQUE DE ANDRADE LIMA CAMPOS,PSB,RECIFE,PE,640730.0
SUÉLLEN SILVA ROSIM,PSD,BAURU,SP,630041.6
ALEXANDRE CIAPPINA HUEB,UNIÃO,POUSO ALEGRE,MG,627444.3
ANTONIO ROBERTO OTONI GOMIDE,PT,ANÁPOLIS,GO,626960.7
EDUARDO DA COSTA PAES,PSD,RIO DE JANEIRO,RJ,626420.4
IGOR ELSON BROMONSCHENKEL DE ALMEIDA,PL,SERRA,ES,612715.07
ANDRÉ RUBENS TRINDADE,UNIÃO,RIBEIRÃO PRETO,SP,599345.0
RONIVON MACIEL GAMA,UNIÃO,PORTO NACIONAL,TO,597819.0
JOSINIANE BRAGA NUNES,UNIÃO,GURUPI,TO,587000.0
FABIO VIEIRA DE SOUZA LEITE,PSD,BOTUCATU,SP,586244.75
FERNANDO MATOS SANTANA,PT,JUAZEIRO DO NORTE,CE,579011.8099999999
EDER LAZARO CASTRO RUZZA,CIDADANIA,SUMARÉ,SP,574665.15
HENRIQUE STEIN SCIASCIO,REPUBLICANOS,SUMARÉ,SP,569144.97
MANOEL ADAIL AMARAL PINHEIRO,REPUBLICANOS,COARI,AM,565342.0
ADILO ANGELO DIDOMENICO,PSDB,CAXIAS DO SUL,RS,561020.0
OTONIEL NASCIMENTO TEIXEIRA,UNIÃO,BARREIRAS,BA,560600.0
JOSE NAZARENO ZEZE GOMES,REPUBLICANOS,HORTOLÂNDIA,SP,557834.9
FERNANDO STEPHAN MARRONI,PT,PELOTAS,RS,556756.5
PAULO FERNANDO CURI ESTIMA,PSDB,PELOTAS,RS,553294.5
MARIA TEREZA PASCHOAL DE MORAES,PP,LONDRINA,PR,552858.0
LUIZ FERNANDO TEIXEIRA FERREIRA,PT,SÃO BERNARDO DO CAMPO,SP,548805.44
ROBERTO ANGELO DE FARIAS,PL,BARRA DO GARÇAS,MT,544544.22
LUIZ CLAUDIO GUBERT,MDB,JOINVILLE,SC,541608.5
CAIO CÉSAR MACHADO DA CUNHA,PODE,MOGI DAS CRUZES,SP,540231.0
WANDERSON BORGHARDT BUENO,PODE,VIANA,ES,533423.76
WELLIGHTON FRAZAO DA PAIXAO,PP,SANTA LUZIA,MA,531638.17
JOÃO MARCELO DIEGUEZ PEREIRA,CIDADANIA,NOVA LIMA,MG,527755.62
ROGÉRIO PEREIRA DOS SANTOS,REPUBLICANOS,SANTOS,SP,520301.52
MAURICIO LEITE BARBOZA,PT,ÁGUAS BELAS,PE,519249.36
ROBERTO SOARES PESSOA,UNIÃO,MARACANAÚ,CE,515073.94
MARCIO CORREIA DE OLIVEIRA,UNIÃO,BELFORD ROXO,RJ,504986.0
LEANDRO CARLOS DAMIANI,MDB,SORRISO,MT,504141.66
DOMINGOS KENNEDY GARCIA SALES,MDB,CUIABÁ,MT,498907.21
FELIPE ZORTÉA CAMOZZATO,NOVO,PORTO ALEGRE,RS,495538.58999999997
ALIEL MACHADO BARK,PV,PONTA GROSSA,PR,493913.6
VINICIUS MEDEIROS FARAH,UNIÃO,TRÊS RIOS,RJ,493294.0
LUIZ CARLOS COSTA TRINCHÃO,PSD,POJUCA,BA,490106.3
PEDRO FRANCISCO UCZAI,PT,CHAPECÓ,SC,488751.88
EURES RIBEIRO PEREIRA,PSD,BOM JESUS DA LAPA,BA,478400.0
AGNA MARIA DE SOUZA,MDB,ARIQUEMES,RO,478395.72
WALDENOR ALVES PEREIRA FILHO,PT,VITÓRIA DA CONQUISTA,BA,477850.0
LEONARDO CIACCI,PSD,VARGINHA,MG,471674.48
BRENO SALOMÃO GOMES,CIDADANIA,LAGOA SANTA,MG,471597.93
MANOEL GOMES DE FARIAS NETO,PSB,HORIZONTE,CE,471466.58999999997
GUSTAVO MARQUES CARVALHO MITRE,REPUBLICANOS,ITAÚNA,MG,470103.37
PAULO VITOR AVELAR,UNIÃO,JARAGUÁ,GO,466903.32
EUVALDO DE ALMEIDA ROSA,PSD,SANTO ANTÔNIO DE JESUS,BA,465067.0
LUCILVIO GIRÃO SALES,PSD,MARANGUAPE,CE,461502.08
GILSON COLETA BARBOSA,PP,NANUQUE,MG,461409.97
JOSÉ LUIZ PEREIRA JUNIOR,PSDB,PALMAS,TO,461000.0
ANTONIO CARLOS PORTO DE ANDRADE,PSD,CANINDÉ DE SÃO FRANCISCO,SE,460035.5
JEAN EUSTAQUIO MAGALHAES ALVES,MDB,CRISTALINA,GO,459630.9
MAURO ROSA DA SILVA,PRD,ÁGUA BOA,MT,459041.5
PEDRO CLAUDIO COUTINHO LEITAO,PDT,CARATINGA,MG,452536.55
TULIO MARTINS RAPOSO,PP,RIBEIRÃO DAS NEVES,MG,452429.67
MARIANO KOLANKIEWICZ FILHO,MDB,ÁGUA BOA,MT,448311.2
ATILA CORDEIRO CAMARA,PSB,MARANGUAPE,CE,445494.0
ELIZEU MATTOS,MDB,LAGES,SC,445160.0
SANDRO APARECIDO AZAMBUJA DE FREITAS,AVANTE,AQUIDAUANA,MS,445075.4
LUIS FELIPE OLIVEIRA DE CARVALHO,PP,SANTA INÊS,MA,445000.0
RONALDO PEREIRA LOPES,MDB,PENEDO,AL,441547.29
FELIPE SOUZA PINHEIRO,PT,ITAPIPOCA,CE,440815.42
IVAN PEREIRA BASTOS,PL,CARIACICA,ES,439084.15
RODOLFO WILSON RODRIGUES BRAGA,PSD,VÁRZEA PAULISTA,SP,438939.33
OSCAR SPINDOLA RODRIGUES JUNIOR,UNIÃO,SOBRAL,CE,433850.0
ADRIANO BORNSCHEIN SILVA,NOVO,JOINVILLE,SC,433619.24
ALEI FERNANDES,UNIÃO,SORRISO,MT,431942.35
ERITON DOS SANTOS RAMOS,PP,CANDEIAS,BA,431300.0
LUIZ ANTONIO PARDAL,PP,CORUMBÁ,MS,427852.4
JOAQUIM DIOGENES JACOBSEN,PSB,NOVA MUTUM,MT,427202.0
RICARDO JOSÉ ARAÚJO SILVEIRA,PSD,QUIXADÁ,CE,426591.33999999997
EDUARDO PIMENTEL SLAVIERO,PSD,CURITIBA,PR,424021.04
GUILHERME DA COSTA AGUIAR CORTEZ,PSOL,FRANCA,SP,423612.11
CAMILA BAZACHI JARA MARZOCHI,PT,CAMPO GRANDE,MS,419795.0
DOUGLAS MARTELLO DE SOUZA SILVEIRA,PL,ALVORADA,RS,418665.21
DANIELA CUINSE ABREU SOARES,MDB,ARARUAMA,RJ,416011.93
RODRIGO ANSELMO PINHEIRO DOS SANTOS,PSDB,CARUARU,PE,415697.75
ADEMIR ORTIZ DE GOES,UNIÃO,PRIMAVERA DO LESTE,MT,412660.0
CLAYTON DA SILVA MARQUES,PP,CABO DE SANTO AGOSTINHO,PE,410590.0
EVANDRO BUQUERA DE FREITAS OLIVEIRA,PSDB,MARINGÁ,PR,409262.54
JOSEMAR PINHEIRO DE CARVALHO,PSOL,SÃO GONÇALO,RJ,406598.33
PAULO CESAR MELO DE SÁ,MDB,SAQUAREMA,RJ,405911.3
AIRTON JOSE DE SOUZA,PL,CANOAS,RS,405763.23
JUCELIA SOUSA DO NASCIMENTO,PODE,VALENÇA,BA,404789.88
LUIZ FERNANDO DE SOUZA,MDB,PIRAÍ,RJ,404709.0
BRUNO AREVALO GANEM,PODE,INDAIATUBA,SP,399425.9
RODRIGO NEVES BARRETO,PDT,NITERÓI,RJ,396910.0
ELOI ALFREDO PIETA,SOLIDARIEDADE,GUARULHOS,SP,395411.37
