NM_CANDIDATO,Partido,NM_UE,Estado,total
EURIPEDES MOLINA TASCA JUNIOR,PSD,FÊNIX,PR,6971.7
MAURILIO DE OLIVEIRA,PT,ENTRE RIOS DO OESTE,PR,6960.0
ALTENIAS GONCALVES DE SOUSA,UNIÃO,PALESTINA DE GOIÁS,GO,6960.0
FRANCISCO CARLOS DE OLIVEIRA,PT,CODÓ,MA,6960.0
MÁRCIA DETOFOL,MDB,SANTA TEREZINHA DO PROGRESSO,SC,6950.0
NEVERTON VILELA RABELO,AVANTE,CARMO DO CAJURU,MG,6950.0
VALDIR JUNIOR GARBIN,PL,MACHADINHO,RS,6935.0
CLÉBER JUNIO DE SOUZA,UNIÃO,NOVA AMÉRICA,GO,6934.6
GILSON DA ROCHA CARDOSO,SOLIDARIEDADE,UBATUBA,SP,6925.0
FERNANDO ANTONIO BEZERRA,PODE,ACARI,RN,6904.0
PEDRO HUMBERTO COELHO MARQUES,PSB,RERIUTABA,CE,6900.0
WASHINGTON LUIZ MESSIAS DA SILVA,DC,JAPERI,RJ,6900.0
ALEX MARCOS DE SOUZA,AVANTE,BARRA DO CHOÇA,BA,6900.0
TANIA CONCEIÇÃO BORTOLINI,PL,BRUNÓPOLIS,SC,6878.0
LUCIANO FERREIRA DA SILVA,PSB,SÃO JOSÉ DA VARGINHA,MG,6869.95
DEOCLÉSIO DA SILVA,PSDB,ERMO,SC,6869.91
JOSE FERNANDO DE LIMA MACHADO,MDB,EUGÊNIO DE CASTRO,RS,6860.0
GERALDO GUIMARÃES LOURENÇO,MDB,ASTOLFO DUTRA,MG,6858.0
MARCONES PEREIRA AZEVEDO,NOVO,FUNILÂNDIA,MG,6846.4
JOSE VALENTIM FODRA,PSD,FERNÃO,SP,6836.0
ADEMIR BORHER,PP,CAMPO NOVO DE RONDÔNIA,RO,6812.0
CLETSON RIVALDO DE OLIVEIRA,MDB,EQUADOR,RN,6804.0
LOEVIR FIDENCIO ANTUNES BENEDETTI,PSDB,SANANDUVA,RS,6800.0
MARCOS MESSIAS SALTOR DAN,PT,NOVA ANDRADINA,MS,6800.0
IDALIR JOÃO ZANELLA,PODE,RENASCENÇA,PR,6795.0
REGINALDO NICOLLETI,PODE,CAJOBI,SP,6795.0
JUSSARA MARCIA DO NASCIMENTO,PT,DIAS D'ÁVILA,BA,6792.27
MOACIR ASCARI,REPUBLICANOS,FLORES DA CUNHA,RS,6790.0
RICARDO LUIZ DE OLIVEIRA,SOLIDARIEDADE,ITABIRITO,MG,6780.0
GILSON DOS SANTOS,PL,NÃO-ME-TOQUE,RS,6774.5
JOÃO FERNANDO PEREIRA DA SILVA,PL,PONTES GESTAL,SP,6764.0
PAULO AUGUSTO RIBEIRO,PSB,RESTINGA,SP,6762.0
ADRIANO LEITE RODRIGUES,PRD,CAMPINA DA LAGOA,PR,6761.14
LUZIMAR DE MOURA BENFICA,PP,BOCAINA DE MINAS,MG,6755.0
KATIA CONCEIÇÃO MORITA DE CARAVALHO,MDB,AURIFLAMA,SP,6755.0
GISELY PORFIRIO CAVALCANTE,UNIÃO,SÃO FRANCISCO DO OESTE,RN,6750.0
HELIO ARANTES DA SILVA,PT,IGUARAÇU,PR,6730.0
MAURICIO DE OLIVEIRA SANTOS,PSD,SOCORRO,SP,6730.0
ESMAEL PEREIRA DUARTE,PP,HEITORAÍ,GO,6711.0
RUBENS BESSIO PESSOA ALMEIDA,PP,URUOCA,CE,6700.0
JOSÉ BONIFÁCIO MARQUES DOURADO,MDB,RUY BARBOSA,BA,6700.0
LUZIMAR NUNES DE OLIVEIRA,UNIÃO,CONDE,PB,6700.0
JOSE ALEXANDRE BUCHACRA ARAUJO,MDB,CAPANEMA,PA,6650.0
IVONEI MARCIO CAOVILA,REPUBLICANOS,BARRA DO RIO AZUL,RS,6650.0
GILSON MARCOS KUHN,NOVO,LUZERNA,SC,6648.25
WEBER LOBO NEIVA JUNIOR,PP,CATAS ALTAS DA NORUEGA,MG,6625.0
AGNALDO DA SILVA SERAFIM,MDB,JAGUARUNA,SC,6612.9
RICARDO MITSURO WATANABE,PSD,MARIÁPOLIS,SP,6612.0
CLOVIS TABORDA PADILHA,PP,SÃO VALÉRIO DO SUL,RS,6610.0
SILVIO SANTOS DOS REIS FARIA,PSD,CÁSSIA DOS COQUEIROS,SP,6610.0
FÁTIMA APARECIDA DA SILVA RESENDE,PT,BARRA DO GARÇAS,MT,6600.0
MANOEL EUGENIO NERY,PP,CAMAPUÃ,MS,6600.0
JOSIR BÉRGAMO,PODE,BOA ESPERANÇA DO IGUAÇU,PR,6600.0
RENATA KARLA XIMENES LUCAS ALVES,UNIÃO,SIRINHAÉM,PE,6600.0
WBERTH CELSO DA SILVA,PC do B,RAPOSOS,MG,6600.0
LUIS ROBERTO APARECIDO MICHELONI,UNIÃO,TAQUARITINGA,SP,6598.0
GERVANIO ALDAIR DOS REIS,PSD,INGAÍ,MG,6590.0
JOÃO DA CRUZ MOURÃO,PT,COIVARAS,PI,6566.0
JULIANO MAURÍCIO LEITE,PSB,SÃO GONÇALO DO RIO PRETO,MG,6541.4
MAURICIO MARIANO,REPUBLICANOS,ÁGUAS DE LINDÓIA,SP,6519.92
JOVANI NEFERSON DE SOUZA,PRD,FORTALEZA DE MINAS,MG,6516.0
SONIA APARECIDA DE SOUZA CHAVES,UNIÃO,ABATIÁ,PR,6508.8
LUCIANO FERNANDES FRANÇA,PL,MARACAJU,MS,6500.0
ROBERTO HRIVNAK JUNQUEIRA,PT,NOVA ESPERANÇA,PR,6500.0
CLAUDEMIR JOSÉ DOS SANTOS,MDB,BASTOS,SP,6500.0
GILSON CORREA NETTO DA SILVA,PDT,JACINTO MACHADO,SC,6500.0
GUIOMAR RAUL WINGERT,PSB,LINHA NOVA,RS,6500.0
RICARDO PASCOTE,UNIÃO,AMERICANA,SP,6500.0
EDILENE ALVES DA SILVA,PL,FLORÍNEA,SP,6500.0
ÉRCIA MARCHI GOLLA,REPUBLICANOS,EMILIANÓPOLIS,SP,6500.0
PAULO DALIA TEIXEIRA,PSB,JURIPIRANGA,PB,6500.0
ÊNIO EURIPEDES DA CUNHA,PL,RIO QUENTE,GO,6492.5
VILSON ALTMANN,MDB,SANTO ANTÔNIO DO PLANALTO,RS,6490.0
KENEDY WALLAFY SOUZA DE OLIVEIRA,NOVO,POMPÉU,MG,6488.95
SAYONARA DE ARAUJO PESSOA,PT,ARARANGUÁ,SC,6470.7
ANACLETO FRANÇA SILVA,PL,TEIXEIRA DE FREITAS,BA,6445.0
MARIA REGINA ASSIS DE OLIVEIRA DA SILVA,PL,ESTÂNCIA VELHA,RS,6417.0
EMERSON ADOLFO DE GOES,PL,IBIRAREMA,SP,6411.0
PEDRO PAULO PINTO,MDB,DELFINÓPOLIS,MG,6410.0
CLEUSA ALVES CALDEIRA,PSDB,JURAMENTO,MG,6400.0
FABIO CHICAROLI,PL,LOBATO,PR,6400.0
WILLIAM FERNANDES MUSSI,UNIÃO,SENADOR FIRMINO,MG,6398.6
ANDREY JULIANO WATZKO,PT,CANOINHAS,SC,6390.0
CLÁUDIO HENRIQUE CAIXETA,PDT,INACIOLÂNDIA,GO,6384.0
JAIME VERAS SILVA FILHO,PSD,BARROQUINHA,CE,6384.0
MARCIO BARROS RIBEIRO,PP,CRISTINA,MG,6374.0
CARLOS ROBERTO DE REZENDE,PP,CRISTIANO OTONI,MG,6360.0
GERSON LOPES RODRIGUES MACHADO,PP,ESPUMOSO,RS,6350.0
GUSTAVO CAVALHEIRO,PSD,PANAMBI,RS,6340.65
LUIZ VICENTE BERTI TORRES SANJUAN,AVANTE,SOBRADINHO,BA,6310.0
IVOLICIANO LEONARCHIK,PSDB,MANGUEIRINHA,PR,6300.64
ELLEN MACHADO AFONSO MARQUESINI,REPUBLICANOS,MARINÓPOLIS,SP,6300.0
NELSON JOSE FONSECA SMOLA,PL,INDEPENDÊNCIA,RS,6300.0
MARCOS ANTÔNIO DE SOUZA,UNIÃO,GUARACI,PR,6293.0
ANDRE LUIS SALGADO XAVIER,PSD,PIRAÚBA,MG,6280.0
DIEGO FREITAS DE QUADROS,MDB,ARROIO DO SAL,RS,6259.0
DOUGLAS MATIAS DE OLIVEIRA,DC,PAULA CÂNDIDO,MG,6253.37
FRANCISCO EDIBERTO DE SOUZA,PP,MARTINÓPOLE,CE,6250.0
ROBERTO CARLOS ZORDAN,PL,UNIÃO DO OESTE,SC,6249.5
AIRTON ALVES,PSD,PIRAJUBA,MG,6210.0
LUIS RENATO DOS SANTOS,PT,TAPERA,RS,6200.0
SANDRO SPADOTTO BARROS,NOVO,SANTA IZABEL DO OESTE,PR,6200.0
RAIMUNDO AZEVEDO CUNHA NETO,MDB,MUANÁ,PA,6200.0
JOSÉ ALBERTO SOUSA CHAVES,PODE,DARCINÓPOLIS,TO,6200.0
HUMBERTO CESAR DE FARIAS MENDES,PT,SANTA MARIA DA BOA VISTA,PE,6196.08
EDSON LISS,PDT,LUIZIANA,PR,6180.0
EDILSON MORAIS MONTEIRO,PSB,PINHEIROS,ES,6172.2
PAULO CÉSAR RIBEIRO DE SOUZA,PSDB,GUARANI D'OESTE,SP,6168.0
WILLIAM VIANA DA SILVA,PL,MIRASSOL D'OESTE,MT,6159.2
FABIANE ZANCO BORTOLANZA,PL,XAXIM,SC,6157.5
CARLOS ALBERTO ALVES,PRD,ALBERTINA,MG,6142.0
LUCIANO MARCIO DE ASSIS,CIDADANIA,VENTANIA,PR,6140.0
CASSANDRA LÚCIA SIQUEIRA DE OLIVEIRA E SILVA,PSDB,JAGUAPITÃ,PR,6107.0
JOSE GENEROSO DOS AZEREDO,MDB,QUEVEDOS,RS,6102.5
RENAN MENCK ROMANICHEN,PSD,CÂNDIDO DE ABREU,PR,6100.0
ROLAND SCHATZ,PDT,GARRUCHOS,RS,6095.0
JOÃO CARLOS ALVES DOS SANTOS SILVA,PT,PORTO ALEGRE DO PIAUÍ,PI,6092.5
SEBASTIÃO ALMIR CALDAS DE CAMPOS,MDB,RESERVA DO IGUAÇU,PR,6090.0
AFONSO DE CAMPOS MAIA,PT,LAGOA DOURADA,MG,6090.0
NELSON ANTONIO ROZANI,PODE,VISTA ALEGRE DO ALTO,SP,6080.0
JOSE FLAVIO GODOY DA ROSA,PT,FONTOURA XAVIER,RS,6042.0
JOSIVALDO DE SOUZA,UNIÃO,POÇO REDONDO,SE,6040.0
REMO DA FONSECA SILVEIRA,PT,IPANGUAÇU,RN,6025.0
WAGNER JOSE SCHMIDT,MDB,SÃO JOAQUIM DA BARRA,SP,6025.0
WILSON PAES CARDOSO,PSB,ANDARAÍ,BA,6019.5
TARCISIO FERREIRA DA SILVA,NOVO,GUARDA-MOR,MG,6018.76
PEDRO CÉZAR DE ALMEIDA NETO,PSD,PASSO FUNDO,RS,6000.0
OLGA GENTIL DE CASTRO CARDOSO,PSD,MATINA,BA,6000.0
NILSON TAKASHI HAMADA,NOVO,IMPERATRIZ,MA,6000.0
MARCOS RODRIGUES COSTA,AGIR,BALIZA,GO,6000.0
BIANCA MOREIRA MARAN BERTAMONI,PL,DIONÍSIO CERQUEIRA,SC,6000.0
MATEUS FERREIRA ASSAYAG,PSD,PARINTINS,AM,6000.0
MARIA DO SOCORRO MOREIRA BORGES TOLEDO,SOLIDARIEDADE,PEQUIZEIRO,TO,6000.0
GUILHERME DIETRICH FERNANDES MOREIRA,PRD,RESPLENDOR,MG,6000.0
SALVADOR CAZUO MATSUNAKA,PSD,LAVÍNIA,SP,6000.0
LUIZ CELSO MALTA BRANDÃO FILHO,PP,INHAPI,AL,6000.0
ÉLSON ROGÉRIO ANTUES,PODE,LONTRA,MG,6000.0
LARA JAYNE SIQUEIRA BARBOSA MALTA BRANDÃO,PT,CANAPI,AL,6000.0
LUZINALDO GUIMARAES MONTE ALTO,REPUBLICANOS,MATHIAS LOBATO,MG,6000.0
VIANE CARBONERA MARTIN,PT,SALGADO FILHO,PR,6000.0
ANTONIO DA SILVA RODRIGUES,PSDB,MARACAÇUMÉ,MA,6000.0
MARCIO RODRIGUES DA SILVA,PL,SÃO GERALDO DA PIEDADE,MG,6000.0
WILSON MARCOS SOARES,SOLIDARIEDADE,PORTEIRINHA,MG,6000.0
MARCOS ANTONIO PEIXOTO DE SIQUEIRA FILHO,PSDB,ABREU E LIMA,PE,6000.0
LEONEL GOMES LEITE,MDB,CACHOEIRA DA PRATA,MG,6000.0
JÚLIO CÉSAR MATTIAZZI,PP,TUPARENDI,RS,6000.0
SERGIO LUIS BUENO DE OLIVEIRA,PSDB,CHUVISCA,RS,6000.0
ERALDO DANIEL DE PAIVA,PT,SÃO GONÇALO DO AMARANTE,RN,6000.0
RELSON APARECIDO COELHO DOS SANTOS,MDB,LAGOINHA,SP,5969.6
ALEXANDRE GILBERTO SOBREIRA,MDB,COLÔNIA LEOPOLDINA,AL,5961.0
FRANCISCO LOPES DE SOUSA,PT,BOM JESUS,PB,5960.0
MARCIO JOSE RAMOS,PT,OLÍMPIA,SP,5959.29
SANDRO PAULO RAMOS FLORES GOMES,PV,BURITIZEIRO,MG,5950.0
MIGUEL ANGELO GASPARETTO,PT,RONDA ALTA,RS,5950.0
MARCEL DOS ANJOS OLIVEIRA,PODE,CONCEIÇÃO DO CASTELO,ES,5940.0
ROBSON MARTINS DA LUZ,PP,SANDOLÂNDIA,TO,5932.0
WILLAN GREGÓRIO NETO,UNIÃO,BOM JARDIM DE GOIÁS,GO,5910.0
MARTA DA CONCEIÇÃO DOS SANTOS,NOVO,EUNÁPOLIS,BA,5908.95
JOSE HUMBERTO DE OLIVEIRA MARQUES,PL,CRISTAIS PAULISTA,SP,5900.0
ADREAN OSWALDT PEGLOW,PSDB,SÃO LOURENÇO DO SUL,RS,5900.0
GERALDO ROQUE DA SILVA,PSB,ANTÔNIO DIAS,MG,5890.22
ANTONIO FEITOSA SOUSA,PT,PIMENTEIRAS,PI,5886.0
PAULO SÉRGIO DE TOLEDO COSTA,REPUBLICANOS,ITAPEMIRIM,ES,5875.0
ERZENIR ORBEN,MDB,RURÓPOLIS,PA,5869.0
JOSE PAULO MENEGHINE,MDB,ENTRE-IJUÍS,RS,5850.0
CLODOALDO APARECIDO RIGIERI,PSD,NOSSA SENHORA DAS GRAÇAS,PR,5850.0
JOSE FLACH,UNIÃO,BARÃO,RS,5846.0
MARCELO DIMAS RODRIGUES,PSD,TAQUARITUBA,SP,5840.0
WAGNER MARCHESI,UNIÃO,BRITÂNIA,GO,5832.83
ANTONIO DO ROSARIO GUALBERTO DE BRITO,PT,FLORES DE GOIÁS,GO,5824.4800000000005
ANTONIO AMARAL JUNIOR,PT,OURINHOS,SP,5820.0
ALACIR DURANTE,MDB,SANTIAGO DO SUL,SC,5815.0
PAULO MAXIMIANO DE SOUZA JUNIOR,PSD,SAPOPEMA,PR,5796.13
ELZA MANGOLIM FERRETI,UNIÃO,MARUMBI,PR,5769.0
ALBERIS DE OLIVEIRA,MDB,GOUVEIA,MG,5758.0
JAIRO PEREIRA DE OLIVEIRA,PT,PALMEIRAS DE GOIÁS,GO,5752.0
DELIANE ASSUNÇÃO PONZI,MDB,GETÚLIO VARGAS,RS,5750.0
RICARDO MARCOS BATISTA LOPES,PSD,QUEIMADAS,BA,5745.0
ORLANDO SÍLVIO CAIRES NEVES,UNIÃO,DOM BASÍLIO,BA,5743.98
VANDERLEI ANTONIO DA COSTA,PT,SERRANOS,MG,5724.0
NELCIR STEFENON,PDT,MONTAURI,RS,5720.0
BARBARA JAMILLE VIEIRA DE CONI E MOURA,UNIÃO,SÃO FELIPE,BA,5700.0
ÁLVARO DAMÉ RODRIGUES,PP,ENCRUZILHADA DO SUL,RS,5677.72
CELSO VIEIRA SILVEIRA,PP,HERVAL,RS,5676.8
LUIZ CLAUDIO LOPES DE SOUZA,PT,MESQUITA,RJ,5650.0
MARLY QUENTAL DA CRUZ LEITE,MDB,CEDRO,PE,5648.0
CHARLYNE CUNHA FREIRE,PSB,ALCÂNTARAS,CE,5620.0
HYRDELANDO MARIOTTI SANT ANA,UNIÃO,JACUTINGA,MG,5606.0
JOSE RIBAMAR RIBEIRO FONSECA,PSB,HUMBERTO DE CAMPOS,MA,5600.0
TIAGO STANLEY MOREIRA DIAS,PL,BRUMADINHO,MG,5600.0
ALYSSON WAGNER CORRÊA NUNES,PP,BARRA DE SANTA ROSA,PB,5600.0
SERGIO LUIZ DO VALE,PT,POCRANE,MG,5582.0
MARCOS VINICIOS NATIVIDADE PESSOA,PL,INHANGAPI,PA,5582.0
ROSIANE MARINHO IRELANDES LIMA,PDT,CHAVANTES,SP,5551.3
DAVID JOSÉ MARTINS RODRIGUES,PSD,SÃO JOÃO DE IRACEMA,SP,5540.0
DOUGLAS ROSSONI,UNIÃO,IBIRAIARAS,RS,5538.62
ODAIR ADILIO PELICIOLI,PDT,TRINDADE DO SUL,RS,5529.6
MILTON MARQUES ANTUNES SILVA,UNIÃO,LAVÍNIA,SP,5510.0
GERALDO GOMES DE SOUZA,REPUBLICANOS,LIMA DUARTE,MG,5507.04
PATRICIO ROBERTO FIGUEIREDO TRINDADE SILVA,MDB,BOQUIRA,BA,5500.0
HELIO DE SOUZA COSTA,PP,LAGOA NOVA,RN,5500.0
LUIS FILLIPE TORRES FILGUEIRA,PRD,ITAPECURU MIRIM,MA,5500.0
JOSÉ EGNILDO DOS SANTOS,PSB,RETIROLÂNDIA,BA,5500.0
GUILHERME TACINI IBANES SERRA,UNIÃO,ITACARÉ,BA,5500.0
JOÃO RIBEIRO ALVES,PT,AROEIRAS,PB,5500.0
ALEX ROBEVAN DE LIMA,PV,SANTA MARIA DO CAMBUCÁ,PE,5500.0
LUIZ GONZAGA BEZERRA DUARTE,PSB,SERRA DA RAIZ,PB,5500.0
MARIA DA PIEDADE FERREIRA,PRD,SÃO THOMÉ DAS LETRAS,MG,5499.26
DANIELA RODRIGUES RIBEIRO,REPUBLICANOS,MULUNGU,PB,5492.0
LÚCIO ANTÔNIO ALVES,PODE,SOLEDADE DE MINAS,MG,5470.0
JUVELCI DOS SANTOS MENESES,AVANTE,JEQUITAÍ,MG,5470.0
LUCIO MAURO GARCIA,MDB,NOVA CASTILHO,SP,5453.55
WILTON ALENCAR SANTOS DE SOUZA,PSB,CAAPORÃ,PB,5450.0
TÂNIA CRISTINA DE MACEDO,PSD,MAUÁ DA SERRA,PR,5400.0
LUIS FERNANDO ROSA DE CASTRO,MDB,CONCEIÇÃO DOS OUROS,MG,5400.0
JOSÉ BARRETO COUTO NETO,PSB,QUITERIANÓPOLIS,CE,5400.0
FRANCISCO JÂNIO PEREIRA,PT,CAJAZEIRINHAS,PB,5380.0
JOSÉ CELSO BUENO,PSD,QUELUZ,SP,5375.14
SALOMÃO MARINHO DE OLIVEIRA,PT,TAPEROÁ,PB,5375.0
CARLOS PETROCELI SILVA MORAIS,REDE,MONSENHOR PAULO,MG,5370.0
SEBASTIÃO DE QUADROS NETO,PL,ANHEMBI,SP,5356.0
CLEITON DOS SANTOS PEREIRA,NOVO,CAMAÇARI,BA,5350.0
ALEXANDRE HOIO DE SOUZA,NOVO,ARTUR NOGUEIRA,SP,5350.0
FABIO STANISZEWSKI MACHIAVELLI,PP,ANTONIO OLINTO,PR,5340.0
JOSÉ MACHADO ANDRADE,PT,ITATIM,BA,5330.0
AURELIO VILELA ARANTES,PRD,SERITINGA,MG,5325.0
JOÃO RENILDO MACHADO DA SILVA,MDB,TAVARES,RS,5323.5
JOSÉ NILSON SÁ OLIVEIRA,PSD,GLÓRIA,BA,5310.0
NIXOM MARLON GONÇALVES DAS NEVES,AVANTE,FRUTA DE LEITE,MG,5300.0
SÉRGIO OVÍDIO ROSO CORADINI,PDT,VILA NOVA DO SUL,RS,5300.0
DANILO CALDARELE DIAS,PP,SÃO PEDRO DOS FERROS,MG,5299.530000000001
REGINALDO DOS SANTOS QUINTA,PSD,PRESIDENTE KENNEDY,ES,5293.139999999999
CELSO OLIMAR CALGARO,PDT,JOSÉ BONIFÁCIO,SP,5290.0
JOSÉ ODAIR DA SILVA,PRD,CORDISLÂNDIA,MG,5289.0
JOSÉ ADILSON GONÇALVES PRIORI,AVANTE,SÃO JOSÉ DO VALE DO RIO PRETO,RJ,5281.55
MARCO ANTONIO RILLO,PT,SÃO JOSÉ DO RIO PRETO,SP,5278.0
AARÃO DE MOURA BRITO NETO,PP,MANGARATIBA,RJ,5274.25
JOSÉ CARLOS LOPES,PT,REDUTO,MG,5245.0
WILLIAN XAVIER MACHADO,PMB,CRIXÁS,GO,5245.0
OSMAR JOSE DE OLIVEIRA,REPUBLICANOS,DOMINGOS MARTINS,ES,5240.0
FELISBERTO DOS SANTOS FERREIRA,PP,SANTO ANTÔNIO DAS MISSÕES,RS,5233.12
LAELSON ALBUQUERQUE,PP,SÃO MIGUEL DE TAIPU,PB,5212.2
WILSON ALVES DA SILVA JUNIOR,PSD,RIFAINA,SP,5209.0
DANIEL MAURÍCIO REIS,PP,PIEDADE DOS GERAIS,MG,5200.0
TARCIZIO HENRIQUE ZAGO,REPUBLICANOS,CONQUISTA,MG,5199.9
JOSÉ HÉLIO DE CARVALHO OLIVEIRA,MDB,PARNAÍBA,PI,5184.0
JOEL DOMINGUES DE ANDRADE NETO,PL,NOVA CAMPINA,SP,5180.0
PAULO JOSE FRANCESCKI,PSDB,ZORTÉA,SC,5180.0
ROBERTO HAMAMOTO,PSD,CAIEIRAS,SP,5162.03
GUSTAVO VINÍCIUS SILVEIRA DE PAULA,SOLIDARIEDADE,GUAXUPÉ,MG,5150.0
LUCAS PADOVAN DOS SANTOS PAVANI,PSD,PIRAPOZINHO,SP,5150.0
MARCIO SANTINI,MDB,IOMERÊ,SC,5150.0
JOSMAR ALVES TEIXEIRA,PL,TEIXEIRÓPOLIS,RO,5145.0
HENRIQUE MENEGAZZO,UNIÃO,ANITA GARIBALDI,SC,5127.9
CLEMIR JOSÉ RIGO,PDT,COXILHA,RS,5126.0
WILIAN DE FARIA,PSD,SANTA BÁRBARA DO LESTE,MG,5100.0
JEANCARLO HUNHOFF,PP,SÃO MARTINHO,RS,5097.04
EDUARDO FALCÃO PAIVA MAGALHÃES,PL,CUBATÃO,SP,5092.5
ANDRESSA MARIA LEAL DE SOUSA,PT,CARAÚBAS DO PIAUÍ,PI,5091.2
ROMILDO PEREIRA SOUZA,MOBILIZA,TRÊS MARIAS,MG,5090.0
ELIEUDES DIAS DE MORAES,UNIÃO,SÃO LUIZ DO NORTE,GO,5085.0
MARIA GERALDA ARAÚJO ADÃO DA SILVA,PSOL,CONCEIÇÃO DA BARRA,ES,5083.12
THIAGO SOSSAI CAMATA,PL,JAGUARÉ,ES,5079.0
MARIO WALTER FONTES NETO,UNIÃO,RIACHÃO DO DANTAS,SE,5075.0
JOSE LUIZ MAREGA,PSD,BENTO DE ABREU,SP,5075.0
LUCIANO MANOEL MACHADO,PSB,GUAÇUÍ,ES,5061.0
SILVESTRE PERES DE AMORIM,MDB,NOVO SÃO JOAQUIM,MT,5060.0
MARCIA ANGELICA VIEIRA,PT,GUAÍRA,SP,5052.0
WALLAS CORREIA SILVA,UNIÃO,CAMPOS VERDES,GO,5052.0
JAIME CALADO PEREIRA DOS SANTOS,PSD,SÃO GONÇALO DO AMARANTE,RN,5041.99
MAURINA FONSECA MOTA DE MATOS,MDB,IBIAÍ,MG,5041.6
ISRAEL LUIZ BAETA ALVES DE SOUZA,AVANTE,CARANDAÍ,MG,5040.0
NADIR DO SOCORRO DE MAGALHAES BARBOSA,MDB,SÃO FRANCISCO DO PARÁ,PA,5034.3
JEFFERSON OLIVEIRA FONSECA,PODE,ANTONINA,PR,5030.0
VITOR WAGNER NETO DE OLIVEIRA,PSTU,TRÊS LAGOAS,MS,5015.0
MAURO APARECIDO GARCIA BANHOS,UNIÃO,JOANÓPOLIS,SP,5012.9400000000005
ZANIA FARIA SILVA,REPUBLICANOS,SANTA RITA DE MINAS,MG,5010.0
FLAVIO RESENDE DE SOUSA,PSB,DOURADOQUARA,MG,5000.27
HANS DETTMANN JUNIOR,REPUBLICANOS,SANTA MARIA DE JETIBÁ,ES,5000.0
EXPERIDIÃO ISIDORO AFONSO PORTO,PRD,POMPÉU,MG,5000.0
EDER LUIZ MARCON,PT,BANDEIRANTE,SC,5000.0
GUILHERME JUNIOR BEZERRA MULATO,NOVO,SÃO JOSÉ DE RIBAMAR,MA,5000.0
CICERO NECO MORAIS,MDB,ESTREITO,MA,5000.0
SERGIO ANADIR POSSAMAI,MDB,IBIRAMA,SC,5000.0
MARIANA MATOS DE OLIVEIRA,PSB,JACOBINA,BA,5000.0
CARLOS ALBERTO JÁCOME DE AQUINMO,MDB,DOUTOR SEVERIANO,RN,5000.0
MACELLY CRISTINA DE SOUZA VERAS,PDT,MAUÉS,AM,5000.0
CARLOS TITO MARQUES CORDEIRO,PT,BARREIRAS,BA,5000.0
ANTÔNIO EDUARDO DE MELO,PODE,TRIUNFO,PE,5000.0
FRANCISCO AUSTRAGÉZIO SALES,PDT,FARIAS BRITO,CE,5000.0
ALMIDES ROBERG SILVA DA ROSA,PSDB,SANTA ROSA DO SUL,SC,5000.0
JOÃO BATISTA DE OLIVEIRA,PP,PARAIBUNA,SP,5000.0
MARIA GORETE BARROSO MAGALHAES CAETANO,PSB,ITAPAJÉ,CE,5000.0
MARIA RAILDA DA CONCEIÇÃO OLIVEIRA,PT,SANTO ANTÔNIO DO DESCOBERTO,GO,5000.0
SAMARA BEZERRA CORDEIRO DA SILVA,PRD,MARANGUAPE,CE,5000.0
PAULO RICARDO CATTANEO,MDB,SOLEDADE,RS,5000.0
DARIO MICAEL AURELIO DA SILVA,PRD,FARROUPILHA,RS,5000.0
SIMONE VARGAS CARNEIRO DE LIMA,UNIÃO,ESPERANTINÓPOLIS,MA,5000.0
CARLOS EDUARDO RANZI,MDB,LAJEADO,RS,5000.0
JOSÉ CARLOS DA SILVA MAIA,PP,SÃO JOÃO DO CAIUÁ,PR,5000.0
EMANOEL MATOS,PSB,IMBITUBA,SC,5000.0
THIAGO HENRIQUE TEIXEIRA CURSINO,PL,ROTEIRO,AL,5000.0
EMMANUEL DA NOBREGA DIAS,PSB,VISTA SERRANA,PB,5000.0
JOSE LUIZ BITTENCOURT,PL,VENTANIA,PR,5000.0
VICENTE ANTONIO DA SILVA NETO,PSB,SERRA GRANDE,PB,5000.0
JOSÉ BENTO DOS SANTOS,PSDB,DESTERRO DE ENTRE RIOS,MG,5000.0
MONICA VALONE ESPOSITO MARCHI,UNIÃO,UBÁ,MG,5000.0
GERALDO MARTINS GODOY,MDB,NAQUE,MG,5000.0
JOSÉ INÁCIO PEREIRA,PP,FUNILÂNDIA,MG,5000.0
JAILSON FERNANDES DA SILVA,PSB,ITAPOROROCA,PB,5000.0
RAPHAEL BALHESTERO JUNIOR,NOVO,PRESIDENTE VENCESLAU,SP,5000.0
FRANCISCO GONCALVES NAVES,UNIÃO,ARAGUAINHA,MT,5000.0
MARCOS FERNANDO FELDHAUS,UNIÃO,CLÁUDIA,MT,5000.0
TOMÁS ANTÔNIO ALBUQUERQUE DE PAULA PESSOA,MDB,SANTA QUITÉRIA,CE,5000.0
DANIELLE GARCIA ALVES,MDB,ARACAJU,SE,5000.0
JOSE VIEIRA DE ALMEIDA,PL,IPABA,MG,5000.0
EDERSON DOMINGOS DIONIS,REPUBLICANOS,POCRANE,MG,5000.0
MARCONE PEREIRA LACERDA,UNIÃO,ABEL FIGUEIREDO,PA,5000.0
GLEDSON DOUGLAS SIQUEIRA CAVALCANTE,MDB,FRANCISCO MORATO,SP,4999.9
HIROSHI ONODA,PL,SANTO ANTÔNIO DE POSSE,SP,4990.0
MILTON FERREIRA GUIMARÃES,PSB,ITANHÉM,BA,4985.0
